Byte,Hop Count ,Source ,,Destination ,,Type ,TTL Type ,Next Hop ,,Distance ,Battery, Neighbour ,Address 1,,N-Battery,Address 1,,RSSI,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery
37,7,0,9,0,1,2,97,0,7,2,155,8,0,14,255,0,8,255,0,7,249,0,13,253,0,3,253,0,12,252,0,6,252,0,2,252,0,0,0,0,0,0,0,0,0
19,7,0,10,0,1,2,96,0,7,3,155,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,0,14,0,1,2,98,0,7,1,152,11,0,8,255,0,7,255,0,15,249,0,13,253,0,5,252,0,3,252,0,12,253,0,6,252,0,1,253,0,2,252,0,9,253
46,7,0,3,0,1,2,98,0,7,1,152,11,0,12,255,0,6,255,0,1,249,0,2,252,0,9,252,0,14,252,0,8,252,0,7,253,0,13,252,0,15,253,0,5,252
40,7,0,2,0,1,2,97,0,7,2,152,9,0,16,255,0,9,255,0,14,248,0,8,253,0,7,252,0,13,253,0,3,253,0,6,252,0,10,253,0,0,0,0,0,0
46,7,0,8,0,1,2,98,0,7,1,149,11,0,13,255,0,15,255,0,5,250,0,3,252,0,12,253,0,6,253,0,1,253,0,2,252,0,9,252,0,14,252,0,7,253
43,7,0,15,0,1,2,98,0,7,1,149,10,0,5,255,0,3,255,0,11,250,0,12,252,0,1,252,0,4,253,0,14,252,0,7,252,0,8,253,0,13,253,0,0,0
46,7,0,3,0,1,2,98,0,7,1,149,11,0,12,255,0,6,255,0,1,248,0,2,253,0,9,252,0,14,252,0,7,252,0,8,253,0,15,252,0,5,253,0,13,252
43,7,0,12,0,1,2,98,0,7,1,149,10,0,6,255,0,1,255,0,9,250,0,14,252,0,7,253,0,8,253,0,15,252,0,5,252,0,13,252,0,3,253,0,0,0
37,7,0,9,0,1,2,97,0,7,2,149,8,0,14,255,0,7,255,0,8,250,0,13,253,0,3,253,0,12,253,0,6,252,0,2,253,0,0,0,0,0,0,0,0,0
37,7,0,6,0,1,2,97,0,7,2,149,8,0,2,255,0,9,255,0,14,250,0,7,253,0,8,253,0,13,253,0,3,252,0,12,253,0,0,0,0,0,0,0,0,0
46,7,0,7,0,1,2,98,0,7,1,147,11,0,8,255,0,15,255,0,13,248,0,3,252,0,12,252,0,6,252,0,1,252,0,2,253,0,16,253,0,9,252,0,14,252
46,7,0,13,0,1,2,98,0,7,1,147,11,0,3,255,0,12,255,0,6,249,0,1,253,0,2,253,0,16,253,0,9,253,0,14,252,0,7,253,0,8,253,0,15,253
43,8,0,15,0,1,2,98,0,8,1,147,10,0,13,255,0,3,255,0,11,250,0,12,253,0,1,252,0,4,253,0,14,253,0,7,252,0,8,252,0,5,252,0,0,0
